,name,stda_alpha(bohr),stda_alpha(A^3),gfn2_alpha(A^3),dft_alpha(A^3)
4275,64401371,13.842844819883199,2.0513019596343924,25.761665179677127,25.483324798206443
4276,64411027,8.99749786658938,1.3332942213605474,20.788836256848302,20.462826780161237
4277,64418088,8.058862926600549,1.1942026027783026,22.23516304976544,21.305997787324078
4278,64402471,25.7573474837563,3.816852536880427,18.306242515937086,18.078534775723593
4279,64402035,8.06996871378888,1.195848313852805,24.55413878990551,24.585325447871323
4280,64423937,105.484677222058,15.631246894150665,21.9698750740334,24.09187035932084
4281,64418216,6.59014565353297,0.9765607336687832,27.884474147214174,27.707577314465556
4282,64400755,24.298781008189103,3.600714863698502,22.812855219288124,22.337363377807986
4283,62546936,10.5433557247807,1.5623671680766282,23.219894467056516,23.101996487994327
4284,62528668,40.0197612420071,5.930328319646822,25.261325429440745,25.15880028051108
4285,62548356,50.8483339651546,7.534960368626435,24.048880789101855,24.777965572530672
4286,62543025,34.628898104198896,5.131483265570715,26.817430271980967,27.32377891225961
4287,62549526,9.05968667915994,1.3425096705513158,15.930989927072012,16.36551951336814
4288,62529298,5.7356906187407,0.8499433143380908,23.61516458868592,23.552478010274648
4289,62528349,6.13349885833662,0.908892528322612,20.20210556086132,19.935289208017174
4290,62530613,43.1763564195826,6.398088376035847,22.522742007060657,22.512221337114163
4291,62531189,43.703171803578996,6.476154513713355,26.25814101356699,26.69547573644759
4292,62528573,6.084642670457409,0.9016527741217314,20.191098252322988,20.01827264633197
4293,62544307,48.1354279562169,7.132948391692003,22.480305462184162,23.088659863979448
4294,62541509,42.47297920286879,6.293858423177114,22.691168749897447,22.70782515599905
4295,62529075,5.219038980548519,0.7733832913325825,19.44322794486095,19.474434755947488
4296,62530830,25.6907449386736,3.8069830387373482,20.703201497679352,20.047909588587245
4297,62527956,6.53852119401548,0.9689107631351841,22.799214223876284,22.716716238675627
4298,62546871,12.118776224930599,1.7958208548913412,27.67939450878202,27.639412347278398
4299,62541970,30.0182406591611,4.448252992077788,23.37772926310069,23.481349348861972
4300,62536535,46.6514019687621,6.913038000741014,26.580932659248692,26.547291025171162
4301,62536975,12.8022068274473,1.8970950187252784,19.019901419106734,17.500614401745537
4302,62549667,82.2839444802561,12.193246312806751,27.476420871466516,28.326989407600998
4303,64974926,48.1343357473921,7.132786542727299,18.8911745458986,19.09508189507985
4304,64953784,49.695444960314596,7.364119511444219,24.83232105828927,25.298093909110914
4305,64954208,10.486118728971801,1.5538855038526862,21.766293731216958,21.391944919864407
4306,64953411,44.6107515305017,6.610644215547395,26.944228372987126,26.894043249557985
4307,64952209,48.1571940488854,7.136173800134085,25.203303261186324,25.4892521866575
4308,64953322,11.132896541357,1.649728273980987,27.214272188842877,27.446772222619053
4309,64951475,43.785074723831904,6.48829129795103,20.24320073773133,19.782658955402454
4310,64973746,31.516070547252802,4.6702089140446565,14.228439024472776,13.901207764841232
4311,64954480,7.272504681952911,1.0776761062951918,21.802737390000008,21.372680907398472
4312,58717057,54.9757981721369,8.146588652138108,18.12108957199969,19.12916437867343
4313,58719846,131.932064559975,19.5503529868199,22.85121238724789,28.467764883313603
4314,58710646,56.509810733607,8.373906303559554,19.498197508063072,19.5944643720814
4315,58715666,83.9058392043298,12.433586782493613,26.39124970868757,27.7594419634123
4316,58719143,6.11290860564703,0.9058413617278052,22.895985212282373,23.017531202566772
4317,58701151,141.137901729594,20.91451996779989,28.101247633952013,33.51938169072685
4318,10725566,39.7543158687635,5.890993297012719,15.148835752993767,15.132622715548305
4319,10727598,63.640917848309094,9.430629411351683,23.688907969329076,25.06692575951969
4320,10726371,60.50144087194101,8.965406015608577,18.82611360385855,19.321804503332785
4321,10725746,34.339153654491504,5.088547484290824,19.45405268983498,20.33094238712522
4322,10727240,76.4406329492426,11.327355193583514,18.58778887363624,19.638919785464324
4323,10749234,36.3611550960784,5.388177767912378,16.61337103867842,16.53000454288497
4324,10726375,56.0635885750426,8.307782872992691,20.292022265447308,21.390463072751643
4325,21832375,47.920495566046,7.101098635454528,23.52364334004622,24.04889679305067
4326,21829598,49.55122222293839,7.342747865106128,18.207668415964182,18.02815197388961
4327,21840496,52.210273533193906,7.736779383516338,22.131861264763977,22.91380190467327
4328,21849023,8.68062172524546,1.2863379303554987,21.646806619311036,21.950601281376517
4329,21835787,68.8500807044565,10.202549209189886,21.621669009444236,22.77747197029896
4330,21845277,37.3670754969209,5.5372400825112225,17.107802960845646,17.15978956580977
4331,20119327,9.48438348703251,1.4054433670259123,20.680201748642133,19.901206724423595
4332,20118910,42.4761238954937,6.294324419453733,19.372047715168733,19.023953233667168
4333,20100117,83.11531309391151,12.316442670821276,23.60697619791021,24.91133181267945
4334,20110330,52.9034123031949,7.839492152148937,23.444201516330928,22.82340923079465
4335,20116753,40.5897473762671,6.014791714952141,22.778376193407173,22.91380190467327
4336,20110026,47.045551138812996,6.9714449955050055,23.605467825734124,23.65917100239368
4337,20119302,79.5575522385577,11.789235878470675,23.193630505199305,23.370210815404647
4338,20114539,46.43892492766721,6.881552090406365,25.488714572524987,25.560380848070178
4339,24766908,48.8539233492315,7.2394186315058695,23.633489702821198,23.629534060138393
4340,24750375,67.8425009032503,10.053240996348146,23.75127091233091,25.126199644030265
4341,24770220,44.63193449408689,6.613783213006268,22.76289741120608,23.76734584162547
4342,24766446,97.4648808947661,14.442833375390913,22.30104878790845,24.5571703527288
4343,13117017,52.3684225573462,7.7602146966603485,18.47729079450106,17.999996878747087
4344,13107759,54.3816717608362,8.058548029879512,18.532110987514216,19.204738581424404
4345,13825455,64.98370483393529,9.629610300816703,24.162567210484852,24.489005385541645
4346,13849498,73.7002048535503,10.921264856223353,19.37477549933392,20.6258299625653
4347,13841194,39.4987704222943,5.853125295027682,26.184214476620692,25.715974794910426
4348,13844184,7.43453951083501,1.101687237413086,16.462635920336222,15.578658696490335
4349,22749637,100.254360387587,14.856192394034581,24.85771917687849,26.93257127448986
4350,22734844,62.477339371056004,9.258204534699932,25.377585078335056,26.76808624497303
4351,22732663,44.41465973464021,6.581586352777658,24.01534807078711,24.65793595639677
4352,65056646,44.3973987771208,6.579028537787646,23.72619746644409,23.497649667102376
4353,65068536,8.66474828181869,1.2839857241413029,25.7622022010708,25.50258881067238
4354,65051250,7.9919432109448705,1.1842861047138655,20.28816590652105,19.56038188848782
