name,gfn2_alpha(A^3),add_alpha(A^3),dft_alpha(A^3),subset
450700,3.414586071274308,3.6860000000000004,2.86510758,pcqc
23235966,3.4000535966394287,2.8320000000000003,3.82850766,pcqc
123304,5.017505575985692,4.933999999999998,4.413492645,pcqc
12741293,4.888059858743151,4.862000000000001,4.419716415000001,pcqc
17859950,5.473839653437879,5.16,4.483139595,pcqc
59032882,5.1374253872485385,5.205000000000001,4.551205905,pcqc
21909191,4.385626110351713,4.2219999999999995,4.595365035,pcqc
21585063,5.310685618997733,5.209000000000001,4.70744229,pcqc
57319014,4.77758489642293,4.7589999999999995,4.988648025,pcqc
23153631,13.640238928888767,13.997000000000005,5.276423295000002,pcqc
197839,6.1441254843557696,6.304000000000002,5.356690170000001,pcqc
26159,7.299797746295147,6.784,5.5392046950000005,pcqc
5459993,12.923655452257359,13.075,5.544440565,pcqc
12927177,6.301105402800581,6.387000000000002,5.605048230000001,pcqc
17904870,6.611675218050334,6.527000000000001,5.673559095,pcqc
67937,6.268547591701328,6.4650000000000025,5.70285033,pcqc
23116576,6.913009124800364,6.744999999999999,5.8395262950000015,pcqc
58488901,6.591964428679902,6.556000000000003,5.90151702,pcqc
58444512,6.1556672951476665,6.009000000000002,5.98222845,pcqc
239041,6.496295193602152,6.936000000000003,6.048862305000001,pcqc
17787399,6.821998817045146,6.969000000000002,6.160050450000001,pcqc
57536621,7.055874449496097,6.952000000000003,6.20727207,pcqc
54039158,6.99127095365976,7.027000000000001,6.2278203900000015,pcqc
12201043,6.631749652702242,6.907000000000003,6.32483217,pcqc
12579164,7.0583400949070265,7.207999999999999,6.3924539250000025,pcqc
5463735,7.475855112654396,7.602000000000001,6.49386186,pcqc
12618861,6.739837062954378,6.934000000000001,6.507346695000002,pcqc
21459283,7.124159594484098,7.482,6.82115313,pcqc
59046577,7.604486703093183,7.612000000000003,6.8372559000000015,pcqc
60054940,7.593729678532206,7.455000000000003,6.837305295,pcqc
57054003,8.144229360796821,7.886000000000001,6.872079375,pcqc
53691510,7.762967880847938,7.597000000000001,7.130217645,pcqc
23234839,8.32323886297412,8.088000000000001,7.171511865000001,pcqc
12745709,8.075447945210756,8.185,7.27776051,pcqc
12239077,8.017113996323815,8.133000000000003,7.3324901700000025,pcqc
7844,7.570279299788001,8.054000000000002,7.34276433,pcqc
20393201,8.163756845679407,7.9129999999999985,7.343604045,pcqc
22718991,8.396057126464777,8.419,7.428267075,pcqc
17868745,8.13397483059178,8.338000000000003,7.45795347,pcqc
46782185,8.03769818638251,8.267000000000003,7.54725963,pcqc
11389382,8.769011964238349,8.595,7.556200125000001,pcqc
20691939,8.529914895300863,8.704,7.716832665000001,pcqc
