ID,SMILES
12429786,COC1=C(C=C(C(=C1)O)Cl)O
64920335,CCC(C1CC1)NC(C)(C)CC(C)(C)C
53975208,CCC(CC)C1=CC=CC=C1N(C)C(=O)O
23512851,C1CC2=C(CC1CC(=O)O)NC=N2
64867781,CCC(=O)C(C)N1C=NC=N1
63904213,CC1=CSC(=N1)SCC(=O)C2CC2
28877545,CC1=CC(=C(C=C1)NC(C)C)F
24692927,CCCNC(CC)C1=CC=CC=C1O
11064318,CCOC(=O)C1=CC2=C(N1)C=CC(=C2C=O)O
43756269,CN1C=CN=C1C(C2=CC=CO2)NCCOC
63587261,CN(CC1=CC=CS1)C2=NC(=CC=C2)Cl
57057907,C1CN(CCC1OCCO)CC#N
12659722,CC(C)CC(C(=O)Cl)Cl
53731290,C1C(C(=O)C2=C(N1)N=CC(=C2)F)C(=O)O
65274641,CC(C)N(CC(=O)OC)C1=NC=NS1
244221,C1=CC=C(C=C1)C(=O)C(=CC2=CC=C(C=C2)Cl)Cl
54564583,CC1(CCC(C(C1)CN)CCCN)N
45790565,C1CCC(C(C1)C2=CC=CC=C2)(F)F
5462845,C/C(=C(/C(=O)C)\Cl)/O
64283267,COC1=C(C=C(C=C1)C2CSCCN2)OC
58523464,CC#CC1=CC2=C(CCCN2C)N=C1
5352856,C=CCS/C=C/CO
209192,C[N+]1=C(SCCC1)C2=CC=C(C=C2)N(C)C
22914132,CC1=CCC(C1(C)C)C(C)(CC(=C)C)C(C)O
62834286,CCCCC(C)NCCCNCC
64597891,CC(CC(=O)N1CCC(C1)COC)N
62830101,CCNCC1=NOC(=N1)C2=C(N=C(C=C2)C)C
53926634,C1=CC=C(C=C1)CC=NCCO
28600272,CC(C)N(CCNCC1=CN(N=C1)C)C(C)C
54940615,CN1C=CC=C1C(=O)N(C)CCCC(=O)OC
28292808,CC[C@H](C1=CC=C(C=C1)F)C(=O)O
64229314,CC1CCC(CC1)CCNC2=NC=CC(=N2)C
10399075,C1=CC=C2C(=C1)C(=O)N(C2=O)OCCCC=O
57016059,CCC(C1=CC=C(C=C1)CCO)C(=O)C=O
57667512,C(C(OC(CF)F)F)F
12858359,CC(C)COC1=CCCC1=O
53962519,CCC1=C(C=CC(=N1)C)C(=O)OCC
12699498,C1CC(C=C1)C2=CC=C(C=C2)F
65168917,CC1=C(SC(=N1)OC2CCNCC2)C
345363,CC1=C(C(=NC=C1)Cl)[N+](=O)[O-]
12153317,CCCOC1=CC=CC(=C1C(=O)C)O
63201142,CC(C)(C)C(CC1=C2C=CSC2=NC=N1)O
263572,C1=CC=C2C(=C1)C3=C(C=CC(=C3)F)OC2=O
53401412,C1=CC(=C(C=C1OC(F)F)F)CO
57042943,C(CCN)CCNNCCCCN
53419039,CC(C)CC(CN(C)C)C(=O)C
62949675,CC(C)(C)CC(CN)N1CCCCC1
23432526,CCCCN1C(=O)CCS1
64496738,CCNC(CCCC1CCCC1)C2CC2
58214193,CC1=CC(=C(C=C1)C)COC(C)C
65104557,CCCC(C1=CSC(=C1)C)NCC
64930738,CC1CNCCN1C2CCC(CC2)(C)C
64515416,CC1=C(C=C(C=C1)C2CCC(C2)Cl)C
22291264,CC(C)(C)OC(=O)C1=CC=C(C=C1)NC
11997567,CC(=O)C(CC1=CC=CC=C1)C(C(=O)O)N
14174668,C=CCN(C1=CC=CC=C1)C(=O)C2=CC=CC=C2
10198081,C1=CSC(=C1)CCCCN=C=S
750349,CN1C2=CN(C=C2C(=O)N(C1=O)C)N
57143763,CC(CC1=CC=CC=C1)OCCOC
12659432,CC1=NN2CN(NC(=O)C2=C1)C
63258384,CC1C(=O)N(CCCN1)CCOC(C)C
1531103,CCC(CC)C(=O)N(CC)C1=CC=CC=C1C
17761806,CC1=C(C(=C(C=C1)C(=O)O)C(=O)O)C
10909810,COC(=O)[C@@H]1CC[C@H](C=C1)O
53991896,CC1CCC2C(C2(C1)C(=O)OC)(C)C
22507364,CCOC(=O)C(CCC1=CC(=C(C=C1)C)C)N
19592363,CCOCC1=CN=C2C(=C1Cl)C=CC=C2N
28466097,C1=CC(=CC=C1NCC2=C(C=C(C=C2)F)F)F
26722,CCCCCCC(C)N(C)CC#C
14154587,C1CCN(C1)C2=CC=C(C=C2)CC(=O)O
59294130,C=C(/C=C(/CC(=O)O)\C(=O)O)O
63888048,CCCCN(CCO)CC1=CC(=NC=C1)CN
13236797,CC(C)(CC(=O)OCC1=CC=CC=C1)C=C
11550477,C1=CC(=CC2=C1C=CC(=N2)C(F)(F)F)C(=O)O
5466639,CC(=CCC/C(=C\C=N\O)/C)C
54692150,CCCCCCCCC1=C(COC1=O)O
64617134,C1C(CN1CCOCCO)CC(=O)O
20164733,C1CCC(CC1)SN
559674,CCN(CC)CCOC(=O)C1=CC(=CC=C1)O
547362,CCCCCC(CC)N
7060565,CNCC1=CC=CC=C1C2=CC=CS2
21719836,CC(C)C=C(S)S
58525649,COCC(=O)C(C#N)C1=C(C(=CC=C1)F)C#N
20679361,CC(=O)CCC(=O)ON1C(=O)CCC1=O
54407299,CON1C[C@@H]([C@H]([C@@H](C1)O)O)CO
57037630,COC(=O)CCC1C=C(NO1)CCl
57514873,C=CCCNN1C(=O)C=CC1=O
2783857,CC(C)COC(=O)C(C)N1C=NC=N1
43635112,CC(C)C(C)NC1CC(C1)C2=CC(=CC=C2)F
54519675,CCCCCCCCC=CCCl
54228026,CC(CC1=CSC=C1)(C(=O)O)C(=O)O
19428386,CCCCCCCC#CC(=O)Cl
65091088,CC(C)C1CCCC(CC1)NCC(C2CC2)O
62973635,CCC(C)NCC(=O)N1CCCOCC1
62973192,C1CC(NC1)CCN2CCCOCC2
5463735,C(C(F)Br)(F)F
20137374,CC(C)(CN)OCCO
524011,CC(C)C1CCC2(C(C1)O2)C
46316984,C1=CC(=CN=C1)C2=CC(=CC(=C2)C#N)Cl
41514945,C[C@@H](CNCC(C)C)C1=CC=CC=C1
22101810,CC1=C(SC=N1)C(C2=CC=CC=C2OC)O
21678528,CC1=C2C(=CC=C1)C=C(C(=S)S2)C
11557589,CN1CCC(=O)N(C2=CC=CC=C2C1=O)C
54566033,CC(C)(CCCC1=CC=CC=C1)C=C
21726796,CC(=O)C1(N(CCO1)C(=O)C)C
13408068,CC1=C(CCC1O)OC2=CC=CC=C2
62688453,CC1=CC=C(O1)CN(C)C(=O)CN(C)CCN
62607985,CCCC(C)CC(CC1=CC=C(C=C1)Cl)O
492042,CN1C(=CC(=O)N(C1=O)C)CC23CCCCC2O3
58664796,CC(C)NN1CCC1
20401728,CC1CCCC(C1N=C=O)(C)C
18320276,CCC(=O)OC1CC(=O)C=CC1(C)C
3681956,CCN(C1=CC=CC=C1)C(=O)C(=O)OCC
18997135,C1CNCC=C1CO
15434499,CC1=CC(=CC2=C1NC=C2)NC3=NCCN3
62824181,CCNC1CCN(C1=O)CC2CCOC2
22965737,CC(=O)CC1CC(OC(C1)(C)C)(C)C
63737562,CC(CC1=CSC2=CC=CC=C21)C(C)N
65029883,C1CC1C(CNCC2=CC=CC=N2)Cl
587413,CC1=CC=C(C=C1)C(CCl)Cl
65099465,C1CC(COC1)(C2=CSC=C2)N
63089295,C1CCC(C1)OC2=CC=CC3=C2CCC3=O
16107945,CC(=C)C1(CN1C2=CC=C(C=C2)OC)C
65136705,CCC(C)SCC(C1=CN(N=C1)C)N
11506521,CCCCN1C=CN=C1C(C)C
62799857,CC1=NC(=CS1)CC(C2=CC(=CC=C2)F)N
62944176,CCCN(C1=CC(=C(C=C1)CN)Cl)C(C)C
11481711,CC(=O)OC1=CC2=C(C=C1)[C@H]3[C@H](O3)C(O2)(C)C
51888973,CCC[C@H](C1=CC=CC=N1)NC
6857574,OS(=O)(=O)SS(=O)(=O)[O-]
62977786,CC1=CC(=C(N1CCN(C)C2CC2)C)C=O
63980875,CCC(C)(C)N(C)C1=CC=C(O1)C=O
543904,CCCCOCC=CC
18406837,C1=CC=C2C(=C1)C=NNN2
13160628,CCN(C1=CC=C(C=C1)OC)N
10888404,COC1=CC(=NC(=C1)Cl)OC
63669930,CCCOC1=C(C=CC(=C1)NC(C)(C)CC)N
64759910,C1CC(C1)(CO)NCC2=CC=CC=C2
44125252,CC1CC2=C(C1)NC(=C2)C(=O)O
