ID,time(hours)
46-47_AB3,51.11270055555556
1-44_AB3,44.16978972222223
50-63_ABAB,40.995523055555566
4-sp47,25.34275
5-sp78,62.68969138888888
47-50_AB3,65.46031194444444
3-24,1.921815
63-96,8.37538138888889
5-sp63,43.15689888888889
12-52_ABAB,25.66353472222222
1-sp01,0.008327222222222222
5-sp80,62.09547527777778
benzo-a-anthracene,8.60737111111111
benzo-e-pyrene,17.810348333333334
pyrene,6.0047363888888885
dibenzo-bi-phenazine,18.51823638888889
3E5E-octa-1357-tetraene,0.6637386111111111
benzo-a-pyrene,18.097923055555555
dibenzo-ai-phenazine,21.129408055555555
