ID,time(hours)
46-47_AB3,29.048033888888888
1-44_AB3,13.298153888888885
50-63_ABAB,12.227633055555556
4-sp47,14.723323333333333
5-sp78,23.98686416666667
47-50_AB3,40.93878694444444
3-24,0.7254197222222223
63-96,2.613205555555556
5-sp63,23.953110277777782
12-52_ABAB,8.967129444444444
1-sp01,0.003919722222222222
5-sp80,27.66413305555556
benzo-a-anthracene,4.694284722222221
benzo-e-pyrene,7.324031111111112
pyrene,2.8614194444444445
dibenzo-bi-phenazine,7.754888055555555
3E5E-octa-1357-tetraene,0.2896286111111111
benzo-a-pyrene,7.5187163888888895
dibenzo-ai-phenazine,7.187330277777778
