ID,subset,GFN2,wB97X/cc-pVTZ,GFN2_dipole,wB97X_dipole
222_364_001000,ga_hexamers,238.16305677177,530.0505165357,16.198,7.53492
618_1167_111111,ga_hexamers,220.40328546063003,486.35952369660004,39.367,7.89571
379_282_000100,ga_hexamers,260.776229288445,464.99712223184997,8.869,8.617
379_525_001000,ga_hexamers,276.04406251377003,415.77667131915,6.806,5.44188
867_397_111011,ga_hexamers,259.18493295933,432.63586400040015,12.307,9.462110000000001
1175_67_010101,ga_hexamers,246.577641082785,420.32836623465005,21.416999999999998,10.02014
114_674_000100,ga_hexamers,242.74247161792502,402.72612506235,10.849,11.44368
410_658_001000,ga_hexamers,256.02913496461497,392.29034314050006,14.35,10.80691
930_485_000100,ga_hexamers,218.00750565861003,394.70052030075004,15.927,17.799979999999994
377_114_011101,ga_hexamers,236.59018947017998,391.05964596960007,31.541,35.12785
114_344_000100,ga_hexamers,242.93434659421504,374.32817690355006,12.296,10.55193
618_388_010001,ga_hexamers,224.33584284841496,353.93934051585006,43.653,41.95477
713_618_010001,ga_hexamers,219.54402569884502,325.43366778945006,17.022000000000002,15.969610000000001
410_525_011101,ga_hexamers,211.68050435658,314.44400442015,45.528999999999996,43.022890000000004
618_1178_011101,ga_hexamers,216.36145586110501,297.50129615475004,26.951,25.22334
1075_462_001000,ga_hexamers,215.44739995365,289.6957890918,3.238,3.8462199999999998
559_837_000100,ga_hexamers,210.610525524795,263.51943193485005,6.085,5.40369
411_525_000000,ga_hexamers,212.32194506046002,230.3602567524,7.1739999999999995,7.3913600000000015
46-47_AB3,mike_copolymers,77.74,229.0380345981,3.753,7.58212
47-50_AB3,mike_copolymers,78.81630200000002,151.84539325935003,5.959,5.22555
5-sp78,luke_homopolymers,68.023048,138.27548525084998,0.22399999999999998,0.024319999999999998
5-sp80,luke_homopolymers,67.97113399999999,135.1986771222,6.655,12.33185
4-sp47,luke_homopolymers,51.368375,146.43875091375,0.004,0.00472
5-sp63,luke_homopolymers,91.129226,121.72376310795,1.181,1.00462
1-44_AB3,mike_copolymers,63.163851,99.16891694819999,8.568999999999999,9.095260000000001
50-63_ABAB,mike_copolymers,63.916895,81.7577929341,7.5420000000000025,7.13028
12-52_ABAB,mike_copolymers,55.963301,62.35671478275,6.8320000000000025,7.449839999999999
63-96,mike_copolymers,38.381634999999996,43.02068243715,5.474,4.34684
3-24,mike_copolymers,23.711922,23.421236435550004,1.65,1.17139
1-sp01,luke_homopolymers,4.108204,3.609490230000002,0.0,2.9999999999999997e-05
benzo-a-anthracene,vds,27.828350951175004,33.0771755308,0.011,0.03675
benzo-e-pyrene,vds,30.398736545955003,33.191500258400005,0.03,0.05936
pyrene,vds,24.47653176387,27.143262800100004,0.0,0.0
dibenzo-bi-phenazine,vds,32.3703256716,44.656400331899995,0.0,0.0
3E5E-octa-1357-tetraene,vds,14.152759327080002,19.1074940294,0.0,2e-05
benzo-a-pyrene,vds,30.400401700800003,35.1575151088,0.029,0.01627
dibenzo-ai-phenazine,vds,32.369547700350005,41.433133558499996,0.58,0.60834
520_670_101100,addl_n,85.41438969375,155.063362419,37.388000000000005,23.059160000000002
562_1145_011110,addl_n,93.944275864155,128.2461688566,22.514,18.83013
119_748_111001,addl_n,108.136401425595,597.8264693890501,46.555,46.11352
590_631_011011,addl_n,111.378727457325,180.38366372205002,18.788,13.9538
407_190_100100,addl_n,138.33604445935498,148.2462626427,11.847000000000001,8.80847
71_515_101010,addl_n,143.693658612225,433.40833906875,25.585,14.20207
154_515_001100,addl_n,153.86812013938498,534.7160027127002,31.000999999999998,13.66806
