ID,time(hours)
46-47_AB3,1.4260283333333337
1-44_AB3,0.4267811111111111
50-63_ABAB,0.44352083333333336
4-sp47,0.3055377777777777
5-sp78,0.535455
47-50_AB3,1.4835241666666668
3-24,0.05220361111111111
63-96,0.11093305555555556
5-sp63,1.6176547222222222
12-52_ABAB,0.2946963888888889
1-sp01,0.003513888888888889
5-sp80,0.6100380555555556
benzo-a-anthracene,0.12419749999999999
benzo-e-pyrene,0.14680694444444445
pyrene,0.1328311111111111
dibenzo-bi-phenazine,0.2077780555555556
3E5E-octa-1357-tetraene,0.014434722222222222
benzo-a-pyrene,0.15217166666666665
dibenzo-ai-phenazine,0.16721277777777774
