ID,alpha_GFN2(A^3),gap_GFN2(eV),alpha_DFT(A^3),gap_DFT(eV),pi_sys_size
124,11.274519951608374,2.3803,10.409452905000002,9.0992150468695,5
1221,16.539029732725265,2.628,15.744606855000002,9.5416721677825,6
1388,20.955423879233443,2.8424,21.192578985,8.929688118008,8
2487,35.62808925295413,3.0975,36.02807086500001,9.1786722912155,7
3433,25.075641095128702,3.3523,24.997228860000003,8.825740627117,11
3484,13.94123452994295,4.4474,12.742872705,11.2200703976665,3
4041,29.618102495647026,2.3563,31.23749679,7.926404351214501,15
4093,8.48332043561066,3.7564,7.884281715,10.363183882442,5
4423,32.643786238704905,3.2202,32.698353915,9.240714249129502,8
4944,21.66718453625164,4.2817,21.233527440000003,10.0472597020115,11
5376,44.45996028260768,2.9831,47.793070755,8.157156896438499,21
5584,35.189097380447336,3.0991,35.62930503000001,8.9158103116325,13
5904,32.83697731412078,2.9875,31.658391585,9.8975970842365,6
7489,15.382867275760985,3.1264,14.968216245,9.1296917981255,12
7630,17.62261116992164,9.7096,17.217713940000003,11.117211362177501,1
7686,18.160872276881925,2.5971,18.919421085000003,8.186817306143,15
7844,7.570279299788001,5.2745,7.34276433,11.444020096628,2
8144,17.482099759364537,4.4723,17.59864818,10.969997769057,1
8669,35.486672730180544,2.8981,36.76558761,8.9718657648355,8
9984,18.488025739540056,2.3125,21.195443895000004,7.539730569654001,12
20961,24.728325176100178,3.2992,25.225285575,8.6953980927275,10
24170,25.482804077131014,8.6289,24.839214255000005,10.7400615653845,1
24981,16.038679165004947,10.9495,15.754485855,12.306621002713001,1
25935,10.052092255455504,4.9037,9.264773175,11.955049907867,3
26159,7.299797746295147,5.0331,5.5392046950000005,11.004284114219999,3
26621,25.256340199383978,2.3084,27.99155376,7.672794242548503,17
26722,22.1324805286724,4.9774,22.035751635,10.667407167301,2
26955,22.416701175855962,2.6897,23.662625355,8.331581874609,6
29735,21.736119767568006,2.6328,23.336914725,7.817830924865001,13
30553,19.72660245734312,2.7496,21.28321881,7.9127986586895,14
31001,22.214584638910484,9.3893,22.06356102,11.036121434728502,1
31798,16.103447442240224,3.9452,15.192123780000005,10.8042804341025,3
31894,19.935018919103804,3.8544,19.7392299,9.668749335966,9
32601,21.32775367389484,4.3599,20.846418825000004,10.0608653945365,6
32735,14.961467892176929,3.7539,14.77196991,10.359374288535,2
33101,12.643873529915373,3.7112,12.19720614,10.3199177802125,5
33726,23.019117371716266,2.984,24.361860975,7.990623219932501,10
33827,17.637599016174267,3.4947,18.333003645,9.7288864969265,8
34286,12.002826172564149,3.9697,11.111849805,9.782765039325499,5
35017,16.009615993951723,3.8689,16.048287315,10.5087647924595,9
35144,14.991128840355435,2.6858,14.400766485,9.8224936614985,6
35146,19.38273109192821,1.8926,20.166793020000004,8.686418335661001,15
36081,21.639142061489686,4.9262,21.329748900000006,11.982805520618,3
37033,22.38334672374889,3.5367,22.61075883,9.49133110544,8
37086,12.69087801670168,4.6691,13.003085564999996,10.411348033980499,3
38776,23.841320538602925,3.2166,24.06741738,9.3065658009505,6
39217,20.025784722085408,3.7286,20.567633445,9.146834970707001,7
40045,25.41675741039156,3.6739,26.099774655000004,8.944926493636,12
40230,21.841252522862,2.4587,23.43091341,7.639324238937001,11
40705,22.267863859111074,2.8387,22.585468590000005,8.3122617912235,14
40975,15.104107679742096,2.9469,15.206695305000002,8.744922813518501,9
41129,21.575424562042073,2.9751,22.330985550000005,9.3062936871,6
42802,16.516218474640795,3.9472,16.348312545000002,10.6154334218555,2
44302,24.854421474313746,2.4167,26.16216054,8.707915329850499,14
44303,22.37863074531251,3.3926,23.43032067,8.660295406013,13
50969,21.727573955268692,4.0985,22.271464575000003,9.5618085927195,8
52048,19.666444947399206,3.2843,19.129744995000006,9.717185601355,6
52762,25.01391845826429,2.074,25.75731912,7.872253694965003,8
55835,21.087370658032896,3.6465,20.546097225,10.2459028128765,3
56063,18.574490481276868,3.8269,18.31951881,9.695416493315001,8
56736,21.36282558680561,2.2194,22.259807355,7.796333930675503,13
57483,23.833189791679892,3.7628,24.635657460000004,9.0175808917195,14
58138,24.486388443540502,5.0528,24.34447393500001,10.7362519714775,1
59646,19.59339447846598,3.6268,19.48395654,10.016510836905,2
61278,8.54347898284755,4.7183,7.789146944999999,11.380345455611,3
61982,20.348250805956443,2.9637,19.828783035000004,9.769431460650999,2
64961,19.23765366586255,2.8344,20.382303405,8.175388524421999,13
66346,19.535435733267988,3.2722,19.453726800000002,8.891592178938,13
66833,16.717958474234916,2.8466,16.48577883,8.301649351054,13
67937,6.268547591701328,4.7057,5.70285033,12.155597815685502,2
68346,18.00869072757296,2.7286,18.518136105000004,8.927511207203999,4
68374,15.019761534822399,3.4741,14.549791199999998,9.035268292002,11
68462,17.300414782225133,2.9419,17.985262845,8.021372085039001,12
68478,21.20013299955638,2.3801,23.705994165,7.327209652413501,15
69297,24.854693837813066,3.9474,24.703081635,9.9971907535195,6
69673,14.129036423779125,3.9383,13.93106943,10.077464339417,7
70834,23.764003239093213,3.3237,24.76121955,9.0159482086165,10
70976,17.91990422777987,2.6511,18.34648848,8.3427385424795,10
72855,17.60081705169537,4.2489,17.789362275000006,9.632286079999,7
72909,17.892654541223248,1.6975,18.761159505,7.197955573426,13
73069,14.685137191760564,3.1789,14.35003782,9.114181308647,12
73249,25.98837178398125,2.7439,28.974909420000003,7.8502124730744995,16
73827,17.632720182740208,2.4262,18.778842915,8.040420054574,11
74068,19.991936963074497,3.2418,20.59267671,9.2646602679735,7
74173,16.355808524684065,3.6869,16.350979875,9.918005623024,5
100736,18.980147906612608,2.1801,18.759430680000005,9.410241177991,6
100835,28.971448273375234,3.8894,31.17466635000001,9.406431584084,4
101303,24.56337262381928,3.597,23.759834715,9.5351414353705,6
101391,13.812055396995994,2.1877,13.26907764,9.425751667469498,6
101603,19.624977085980326,3.8495,18.828731865,10.338693635896998,5
102575,14.149573194730213,8.8035,13.431389610000002,10.022225227765501,1
102990,16.27335603218977,4.7991,16.01237715,10.897343370973498,2
103380,18.743086895608066,3.31,19.635352215,9.60017664564,5
106699,25.063479427689533,3.3547,25.87023609,9.6097006304075,6
107068,23.426786404507588,4.21,23.484358800000006,10.8870030446545,3
107520,11.401221287998073,3.8013,10.20154935,10.958841101186499,3
107791,7.869383471187452,3.4968,8.360597700000001,9.819500409143,4
108233,22.865434414912645,5.0539,23.396386305000004,11.1514977073405,2
108386,24.196552040353694,3.0167,24.883274595000003,9.708477958139,2
108463,18.131042546317282,4.6135,17.454266595,11.514769697757998,3
109194,26.955060230827304,3.28,26.720867385,9.897324970386,2
110245,18.95040560502761,3.2024,18.78086811,8.966695601676001,10
112204,18.16928146287745,4.4466,17.808725115000005,11.3468754519995,3
112641,18.14063424630877,3.6642,17.84917962,10.320189894062999,2
112651,24.846256348537693,9.8947,24.602266440000005,11.628241173416502,1
112788,27.782712149547592,0.8405,34.694109495000006,6.831690330653,15
113528,24.51222800438462,3.7328,24.274333035,10.429579661964,3
117007,19.35300020056598,3.6265,19.68934095,8.848598190559,9
118168,21.03121428347816,2.5339,22.46514237,8.310901221971001,6
118703,31.196399776917428,2.5301,32.89815669000001,7.6989171721965,11
119782,28.938648032088327,3.5939,30.660266820000004,8.823019488612,12
120674,15.185810061227903,9.7254,14.210546340000002,13.1994265462035,1
120990,20.51940977849974,2.7755,22.253336610000005,8.1821913706845,11
121543,27.95190115453918,3.2995,27.553173135,9.4839840314765,6
123304,5.017505575985692,1.138,4.413492645,7.845042309914999,2
123895,17.72724676550931,4.0355,16.74174372,10.624957406623,4
124864,16.022317350109365,2.9865,15.8093637,9.1618012324845,8
130137,13.267686116236884,4.6359,12.489179985000002,11.574634744868,3
135905,17.850047435744074,1.3482,16.851450015,8.164231856551499,5
136113,12.75471228570178,5.7584,12.351763095,10.935711423894,1
136576,16.10861153124349,4.0315,15.154583580000004,11.757495252404,3
136724,10.302269243439842,4.6198,10.008958245000002,10.781422870660501,2
137113,18.73362559816249,2.4516,19.899615465000004,8.5196125453045,10
137196,19.112009775572513,5.0024,18.58318932,11.9825334067675,3
137717,8.901450419909828,3.2988,7.971760260000001,10.7770690490525,6
138047,14.867787888663347,6.4204,13.116249510000005,11.7506924061415,3
138191,6.247941322120651,3.3401,10.280927115,10.3558368084785,6
138382,19.46994727833591,3.8679,19.560765765,9.044248049068502,7
138570,8.352954343126381,6.9326,8.1027558,12.263082786633001,1
138633,9.708919580954268,2.9108,9.381246585,9.5645297312245,2
139502,10.206012900536015,3.6301,9.551955705,10.061953849938499,6
139669,16.848222319268412,2.9596,18.14979759,9.080439191185,2
140015,11.300067440386565,4.7344,10.937485455,11.851102416976,3
140160,13.465459211110144,4.9371,13.59419553,11.0241484253065,3
140449,8.476997393980492,4.3383,7.7554101599999985,10.994488015602,5
140728,16.999750225815944,4.3666,16.997362845,9.878821228552,6
142298,15.429839161910806,4.8049,14.583577380000005,10.452165111555502,10
142551,12.085571922602055,8.9748,12.260481135,12.174645785220498,1
142693,17.614904083088152,8.1925,17.348462505,10.495431213785,1
142737,15.766441029944625,2.4997,15.19923666,8.6349888179165,4
143058,19.938279723675443,5.5151,20.40023379,11.2870104048895,2
143575,13.686489600048803,3.2543,13.806050685000002,7.8485797899715,3
145424,14.549750008519402,4.1168,13.937589570000002,10.0162387230545,6
147148,21.70294535988513,2.2268,23.867812185,7.7010940830005,13
147389,14.359744756211253,4.3726,13.464928815,11.478850669492,3
148978,17.61689731563953,4.1427,17.619245895000006,9.648612911029,7
149554,19.55741137776557,2.061,19.739872035,8.1528030748305,9
175286,22.365990589440628,4.5334,22.982851365,10.4325729143195,2
181549,28.997719348098574,4.9453,29.796595245,10.942786384007,3
182077,22.246352477313923,3.0727,23.333654655,8.645601258086,9
182095,14.755750022193295,3.16,13.60249389,9.935693023306502,2
182897,21.62272201000257,3.4632,21.253729995,10.0167829507555,5
183719,19.87576326131272,3.3389,19.424336775000004,9.81786772604,6
188275,14.006173367780907,2.815,13.193305710000002,9.547386558643,3
188987,10.098535122186071,3.1991,9.35402994,10.3650886793955,5
190298,23.346842086436357,2.9529,24.55741578,8.007222164813001,15
190997,26.037758043631893,2.4705,28.374710775,7.8311645035395,14
191028,11.91054933008165,2.6402,11.13926403,9.312552305661502,9
191194,18.45886669297864,3.835,17.151821010000006,9.980047580937999,6
193458,19.568622292097192,3.1475,20.145602565000004,8.779481272532001,10
193505,19.894663332127767,4.2214,19.401318705,9.914196029117,6
193672,18.878707766138913,3.3602,19.325447985,8.6148523929795,11
194002,19.9492769556534,3.0463,20.604976065,8.972409992536502,9
194768,21.3734723619414,2.8351,22.43461626,8.810502251489,7
197839,6.1441254843557696,9.089,5.356690170000001,11.587696209691998,1
199015,23.41033804974062,3.8866,23.564032935000004,9.555822088008501,8
200444,29.592839669699202,2.658,29.303336775,9.140848465996,9
200483,33.01558538391523,2.8968,33.815471235000004,9.367791417313,6
200622,14.765793537369476,3.6881,14.810596800000004,9.600720873341,5
